nama_usaha,wilayah,alamat_usaha,rt,rw,penanggung_jawab,badan_usaha,telepon,fax,jenis_usaha,kapasitas,
CARREFOUR,Jakarta Selatan,Jl. Lebak Bulus Raya No. 8,,,Kuswanto Gunadi,PT. Trans Retail Indonesia,021 3446579,021 3804735,Bar,2015-03-12,
CARREFOUR,Jakarta Selatan,Jl. Letjen. Soepeno,,,Kuswanto Gunadi,PT. Trans Retail Indonesi,021 7585800,021 7585707,Bar,2015-02-08,
CARREFOUR,Jakarta Selatan,Jl. Prof. Dr. Satrio,,,Kuswanto Gunadi,PT. Trans Retail Indonesia,021 7585800,021 7585707,Bar,2015-02-08,
CARREFOUR,Jakarta Selatan,Jl. Lebak Bulus Raya No. 8,,,Kuswanto Gunadi,PT. Trans Retail Indonesia,021 3446579,021 3804735,Bar,2015-03-12,
CARREFOUR,Jakarta Selatan,Jl. Letjen. Soepeno,,,Kuswanto Gunadi,PT. Trans Retail Indonesi,021 7585800,021 7585707,Bar,2015-02-08,
CARREFOUR,Jakarta Selatan,"Mall Kota Kasablanka, Jl. Casablanca Kav. 88",,,Adi Prihasmoro,PT. Trans Retail Indonesia,021 27585800,021 27585707,Bar,2015-01-10,
CASA,Jakarta Selatan,Jl. Kemang Raya No. 85,,,Shri Jehan Djody Putri,PT. Casa Maha Rasa,021 7199289,021 7199289,Bar,2015-01-10,
CASA DE ESPANA,Jakarta Selatan,Jl. Kemang Selatan Raya No. 99,,,Dian Agustina Soewarso,CV. Nido De Amor,021 71792632,,Bar,2015-01-10,
CAZBAR,Jakarta Selatan,"Mega Kuningan, Jl. Mega Kuningan Kav. E.3.3",,,Rusmiyati,PT. Nova Casablanca,021 5764581,021 5764582,Bar,2015-01-10,
CAZBAR,Jakarta Selatan,Jl. Mega Kuningan Kav. E.3.3,,,Rusmiyati,PT. Nova Casablanca,021 5764581,021 5764582,Bar,2015-01-10,
CHERRY,Jakarta Selatan,"Wijaya Grand Center Blok E 14 - 15, Jl. Wijaya II",,,Willy Mindjaja,PT. Idola Mitra Sejati,,,Bar,2015-02-20,
CHILLOUNGE,Jakarta Selatan,Jl. Kemang Selatan No. 31,5,4,Bella Novita Kartika,PT. Prima Saray,021 7823020,,Bar,2015-01-10,
CHOOI YEON,Jakarta Selatan,Jl. Woltermonginsidi No. 89 Lt. Dasar,,,Indon Novo Muhammad N.S,PT. Amapola International,021 7251443,021 7251443,Bar,2015-01-10,
CLUB JCOOL,Jakarta Selatan,Jl. Melawai VIII No. 4,,,Meychael,CV. CLASSIC MULIA,,,Bar,2015-01-10,
COFFEE SHOP EUPHORIA,Jakarta Selatan,Jl. Lingkar Mega Kuningan Blok 6.2,,,Caroline Yunita Iwo,PT. Surya Adhikara Jaya,021 57947778,021 57947778,Bar,2015-01-10,
COLONIAL,Jakarta Selatan,"Lippo Mall Kemang, Kemang Village, Jl. Pangeran Antasari No. 36",,,Pradeep Sainani,PT. Trigun Andrawina,,,Bar,2015-01-10,
COMMON PEOPLE,Jakarta Selatan,"Gd. Plaza Bisnis Kemang, Jl. Kemang Raya No. 2",,,Hendry Johanes,PT. Epikurindo Ananta Rasa,021 31907145,021 31907145,Bar,2015-01-10,
COMMUNE BISTRO & GRILL,Jakarta Selatan,"Gd. Foundry No. 8, Zone Kawasan Niaga Terpadu",,,Joseph,PT. Komun Resto Bersama,,,Bar,2015-01-10,
CONNOISSEUR,Jakarta Selatan,"Cilandak Town Square, Jl.TB. Simatupang Kav. 1",,,Lie Tjoan Liang,PT. Surya Perdana Lestari,021 75920355,021 5223983,Bar,2015-08-20,
CORK & SCREW,Jakarta Selatan,"Wisma Kodel, Jl. HR. Rasuna Said Kav. B-4",,,Hernando Basuki,PT. Mitra Indoboga Jaya,021 52902030,021 52902031,Bar,2015-01-10,
CORK & SCREW,Jakarta Selatan,"Gd. One Pacific Place Level G-51 C Lot. 3-5, SCBD",,,Hernando Basuki,PT. Mitra Indoboga Jaya,,,Bar,2015-01-10,
CORNER,Jakarta Selatan,Jl. Kemang Raya No. 3-5,,,Ardi Slamet,PT. Jaya Makmur Panca Perkasa,,,Bar,2015-01-10,
COSMOS,Jakarta Selatan,Gd. Podium Sequis Plaza Lt. 2 Suite P201 Jl. Jend. Sudirman Kav. 25,,,Rusmiyati,,,,Bar,2015-01-10,
COWBOYS,Jakarta Selatan,Jl. Taman Kemang No. 29 RT014/RW001,,,Hilda Zulfah,PT. Eurasia Boga Kencana,021 7183007,021 7195820,Bar,2015-01-10,
CRASH MACHINE,Jakarta Selatan,Jl. Melawai VIII No. 1,,,Maria Goretty Hetty Setyaningrum,PT. Musindo Cipta Jaya,,,Bar,2015-01-10,
CREMA,Jakarta Selatan,"Gd. Apartement Oakwood Premier Cozmo, Jl. Lingkar Mega Kuningan Blok E4.2 No. 1",,,Victor Waskito Purwana,PT. Espressa Illindo,,,Bar,2015-01-10,
CREO,Jakarta Selatan,Jl. Kemang Raya No. 15,,,Tria Prayuti,PT. Creo Ameya Boga,,,Bar,2015-01-10,
CRYSTAL EXECUTIVE CLUB,Jakarta Selatan,"Jl. Melawai VIII No. 2, Blok M",,,Yati Kaswan Sujadi,PT. Puri Jaya Lestari,021 7266666,021 7233333,Bar,2015-01-10,
D' ASTI LOUNGE,Jakarta Selatan,"Food Mart, Jl. TB. Simatupang Kav. 17 ",,,Johan Manese Wattimena,PT. Mitra Kreasi Kuliner,,,Bar,2015-01-10,
D' ASTI LOUNGE,Jakarta Selatan,Jl. Metro,,,Michael Andy Prayitno L,PT. Mitra Buana Intimas,,,Bar,2015-01-10,
D' ASTI LOUNGE,Jakarta Selatan,Jl. Bangka I,,,Johan Manese Wattimena,PT. Mitra Kreasi Kuliner,,,Bar,2015-01-10,
D' ASTI LOUNGE,Jakarta Selatan,Jl. Jend. Sudirman Kav. 52 -53,,,Johan Manase Wattimena,PT. Mitra Kreasi Kuliner,,,Bar,2015-01-10,
D' ASTI LOUNGE,Jakarta Selatan,Jl. Terogong Raya No. 18,15,10,Johan Manese Wattimena,PT. Mitra Kreasi Kuliner,,,Bar,2015-01-10,
D ASTI WINES AND SPIRITS LOUNGE,Jakarta Selatan,"Lippo Kuningan Lt. Dasar Unit E, Jl. HR. Rasuna Said",,,Irwan Gunawan Lie,PT. Mitra Kreasi Kuliner,,,Bar,2015-01-10,
D' S PLACE,Jakarta Selatan,"Jl. Falatehan I No. 1 C, Blok M",,,Eddy Sugiatno,PT. Wahana Deptari Indah,021 7220753,021 7244578,Bar,2015-01-10,
DAITOKYO SAKABA,Jakarta Selatan,Jl. Melawai IX No. 26,,,S. Susilowati,PT. Duta Inti Boga,021 7252390,021 7252391,Bar,2015-01-10,
DE BURSE,Jakarta Selatan,"Gd. Equity Tower, Jl. Jend. Sudirman Kav. 52-53",,,Rusmiyati,PT. Bugi La Boga,,,Bar,2015-01-10,
DE HOOI,Jakarta Selatan,"Mal Pondok Indah 2, Jl. Metro Blok BA - 31",,,Rusmiyati,PT. Sante Ma Boga Mandiri,021 7500150,021 7500742,Bar,2015-01-10,
DE LEILA,Jakarta Selatan,"Gd. Patra Jasa, Jl. Jend Gatot Subroto Kav. 32-3",,,Firdaus,PT. Gunung Tidar Amartha,,,Bar,2015-01-10,
DECANTER,Jakarta Selatan,Jl. HR.Rasuna Said Kav. C 11-14,,,Yohanes O Handoyo Lesmana,PT.Decanter Indonesia,,,Bar,2015-05-20,
DELI,Jakarta Selatan,Jl. Sultan Agung No. 64,,,Bakti Sianturi,PT. Tobas Kaula Kencana,021 8303961,021 75920303,Bar,2015-01-10,
DELTA FORTUNA RAYA,Jakarta Selatan,"Jl. Wijaya II, Komp. Grand Wijaya Blok F 17-18",,,Deddy Sudarmadji,PT. Galaxi Chandra Purnama,,,Bar,2015-01-10,
DELTA SPA & HEALTH CLUB,Jakarta Selatan,Jl. Jend. Gatot Subroto Kav. 42 - 43,,,Laksana Muljadi D,CV. Parisma Lestari,,,Bar,2015-01-10,
DENNIS,Jakarta Selatan,Jl. Darmawangsa VI - IX,,,George C Abels,CV. Segar Abadi,,,Bar,2015-01-10,
DESTINATION,Jakarta Selatan,"Gd. Setiabudi I, Jl. HR. Rasuna Said Kav. 62",,,Drs. Gideon Suprapto,PT. Vino Embassy,021 5203052,021 5203052,Bar,2015-01-10,
DIALOQUE EATERY,Jakarta Selatan,Jl. Kemang Raya No. 31,,,Sandra Marlyn Tandjung,CV. Karya Sumber Prima,,,Bar,2015-01-10,
DIE STUBE,Jakarta Selatan,"Plaza Bisnis Kemang, Jl. Kemang Raya No. 2",,,Dewi Rohyati,PT. Pelita Boga Lestari,021 71793486,021 71793082,Bar,2015-01-10,
d'ILARIO,Jakarta Selatan,Jl. KH. Syafei Hadzami No. 1,,,Margono Lismanto,PT. Bertu Indonesia,,,Bar,2015-01-10,
DIVA,Jakarta Selatan,"Apartemen Gardenia Boulevard Lt. Dasar, Jl. Warung Jati Barat",,,Tjhin Dianawi,PT. Swara Indah Lestari,,,Bar,2015-01-10,
DIVA,Jakarta Selatan,"Kalibata City Square, Jl. Kalibata Raya No. 1",,,Tjhin Dianawi,PT. Swara Indah Lestari,,,Bar,2015-01-10,
DIVA,Jakarta Selatan,Jl. Tebet Raya No. 64,2,4,Thjin Dianawati,PT. Swara Indah Lestari,,,Bar,2015-01-10,
DIVA,Jakarta Selatan,Jl. RC. Veteran No. 1,,,Ferry Suryanto,PT. Wahana Musika Keluarga,,,Bar,2015-01-10,
D'LIGHT,Jakarta Selatan,"Bellagio Boutique Mall, Jl. Mega Kuningan Barat",,,Ferry Laksanan,PT. Zodiak Indonesia,,,Bar,2015-01-10,
DO RE MI DO,Jakarta Selatan,Komp. Wijaya Graha Puri Blok. C 31/32,,,Sumiyati,PT. Kayindo Jaya Mandiri,,021 7399916,Bar,2015-01-10,
DON SANCHO,Jakarta Selatan,Jl. Melawai VIII No.4 A Lt.2,,,Wenny Setiowati,PT. Lintas Nada Khatulistiwa,021 7208123,021 7208123,Bar,2015-01-10,
DOOR 858,Jakarta Selatan,Jl. Ciputat Raya No. 11,9,8,Teguh Susanto,PT. Teguh Pundi Kencana,,,Bar,2015-01-10,
DOWNTOWN BISTRO,Jakarta Selatan,Jl. Jend. Sudirman No. 1,,,Anthony Tjandra,PT. Aneka Kopi Indonesia,,,Bar,2015-01-10,
DRAGON FLAMES,Jakarta Selatan,Jl. Kemang Raya No. 29,,,Novarmi Bakti Massewa,PT.Linijati Arthaprima,021 5330484,021 5330484,Bar,2015-01-10,
DRAGONFLY,Jakarta Selatan,"Graha BIP, Jl. Jend. Gatot Subroto Kav. 23",,,Ariyanto,CV. Trimaya Jaya,,,Bar,2015-01-10,
D'STORM,Jakarta Selatan,"Pacific Place Mal Unit B. 1-45 Lt.B.1, Jl. Jend. Sudirman",,,Lie Kuang Heng,PT. Usaha Entertainment Indonesia,021 57973382,021 57973382,Bar,2015-01-10,
DUTA PARAMA SENTOSA,Jakarta Selatan,Jl. Iskandar Muda No. 25 RT006/RW009,,,Laksana Muljadi D.,PT. Galaxi Chandra Purnama,021 7290333,021 7292179,Bar,2015-01-10,
E & O,Jakarta Selatan,Jl. DR. Ide Anak Agung Gde Agung Lot. 5.1,,,Winfred Hutabarat,PT. Selera Karya Bersama,021 5761301,021 5761301,Bar,2015-01-10,
E' BAR,Jakarta Selatan,Jl. Tebet Raya No. 58,,,Ir. Made Repel,PT. Eldora Entertainment,,,Bar,2015-01-10,
EASTERN PROMISE,Jakarta Selatan,Jl. Kemang Raya No. 5,,,Rusmiyati,PT. Dwi Batara Boga,021 7996151,021 71790151,Bar,2015-01-10,
EBISU,Jakarta Selatan,Jl. Melawai Raya No. 189 B Lt.2,,,Iwan Setiawan,PT. Ullysses,021 7221153,021 7235639,Bar,2015-01-10,
EL - ASADOR,Jakarta Selatan,"Gd. Kemang Point, Jl. Kemang Raya No. 3",,,Dhani Isti Adityanti,PT. Kuliner Latinesia,021 29303690,021 29303686,Bar,2015-01-10,
ELBOW ROOM,Jakarta Selatan,Jl. Kemang Raya 24 A,,,Lydia Hertadi,PT. Citra Rasa Bersama,,,Bar,2015-01-10,
EMPIRICA LOUNGE AND BAR,Jakarta Selatan,"Kawasan Niaga Bisnis SCBD Lot. 8, Jl. Jend Sudirman",,,Yan Surya Kusuma,PT. Indiglo Inti Mandiri,,,Bar,2015-01-10,
ENTRADA,Jakarta Selatan,"18 Parc Office Building, Jl. Jend. Sudirman Kav. 5",,,Kwik Ing Lan,PT. Entrada Penta Jaya,021 5153121,021 5153070,Bar,2015-01-10,
ESPIGA,Jakarta Selatan,"Gd. CEO Lt. 16,17,18, Jl. TB. Simatupang No. 18",,,Zakie Mubarak Yos,PT. Ranadi Boga Utama,021 5270583,021 5270630,Bar,2015-01-10,
EXCHANGE CLUB,Jakarta Selatan,Jl. HR. Rasuna Said Kav. 1,,,Ikhwan Martias,PT. Multi Satya Graha,,,Bar,2015-01-10,
EXODUS,Jakarta Selatan,"Kuningan City, Jl. Prof.DR. Satrio Kav. 18",,,Rudy Susanto,PT. Makmur Abadi Karya,,,Bar,2015-01-10,
F E Z,Jakarta Selatan,Jl. Kemang Raya No.78 B RT004/RW002,,,Abdul Slam Tahir,PT. Darwaza Utama,021 71192677,021 71192677,Bar,1940-10-01,
FABLE,Jakarta Selatan,"SCBD Lot. 14, Jl. Jend. Sudirman Kav. 52 - 53",,,Michael Jason Kurniawan,PT. Tri Java,021 5151501,021 51545264,Bar,2015-01-10,
FAIR GROUND,Jakarta Selatan,Kawasan Niaga Terpadu Sudirman Jl. Jend. Sudirman,,,"Prasetyo Edi Marsudi, SH",PT. Lima Dua Lima Tiga,021 5155008,021 5155264,Bar,2015-01-10,
FJ BISTRO & DELI,Jakarta Selatan,Jl. Kemang Raya No. 25,,,Bambang Sugiharto Surja,Bambang Sugiharto Surja,,,Bar,2015-01-10,
FJ GRILL,Jakarta Selatan,"Empire Tower, Kemang Village, Jl. Kemang VI",,,Bambang Sugiharto Surja,PT. Kasih Agafe Jaya,021 7182715,021 7182716,Bar,2015-01-12,
FJ GRILL,Jakarta Selatan,Jl. Kemang VI,,,Bambang Sugiharto Surja,PT. Kasih Agafe Jaya,021 7182715,021 7182716,Bar,2015-01-12,
FJ on 7,Jakarta Selatan,"Gd. Colony 6 Kemang, Jl. Kemang Raya No. 6A",,,Bambang Sugiharto Surja,PT. Kasih Agafe Jaya,021 29056716,,Bar,2015-01-10,
FLAME BOUTIQUE KTV & LOUNGE,Jakarta Selatan,"Kuningan City Mall Lt. 3, Shop Unit No. L3 - 30 ",,,Oliver Richard W Mambu,PT. Tri Beta Pratama,,,Bar,2015-01-10,
FOODISM,Jakarta Selatan,Jl. Taman Kemang II No. 14A,14,1,Ratna Marina I.V Joesoef,PT. Foodism Arta,021 75908536,021 75908538,Bar,2015-01-10,
FOOK YEW,Jakarta Selatan,"Gandaria City, Jl. Sultan Iskandar Muda",,,Christian Rijanto,PT. Sinaran Sejahtera,,,Bar,2015-01-10,
FORCA,Jakarta Selatan,"Gd. Setiabudi I Lt. 2 Unit A301, Jl. H.R. Rasuna Said",,,Martin Kauw,PT. Mitra Lima Perintis,021 5207915,021 5220580,Bar,2015-01-10,
FORTUNE,Jakarta Selatan,"Plaza 3 Pondok Indah Blok F No. 1 - 4, Jl. TB. Simatupang",,,Yogi Idham Fauzi,PT. Fortune Pondok Indah,,,Bar,2015-01-10,
FORTUNE,Jakarta Selatan,"Wijaya Grand Centre, Jl.Wijaya II Blok F No. 21",,,Yogi Idham Fauzi,PT. Jakarta Entertainment,,,Bar,2015-01-15,
FOURTIES,Jakarta Selatan,Jl. Kemang Raya No. 67 RT004/RW002,,,Dodi Laksamana,PT. Wahana Tirtamas,021 7191333,021 7191333,Bar,2015-01-10,
FUKURO,Jakarta Selatan,"Kawasan Niaga Terpadu Sudirman Lot. 14, Jl. Jend. Sudirman",,,Ryo Okawa,PT. Hanabusa Asia Pasifik,,,Bar,2015-01-10,
GALAXI CHANDRA PURNAMA,Jakarta Selatan,"Komp. Golden Fatmawati Blok H/4, Jl. RS. Fatmawati",,,Simon Prasetio Liauw,PT. Galaxi Chandra Purnama,021 75914687,021 75914687,Bar,2015-01-10,
GALAXI CHANDRA PURNAMA,Jakarta Selatan,Komp. Golden Fatmawati Blok H/4,,,Simon Prasetio Liauw,,021 75914687,,Bar,2015-01-10,
GANDARIA XXI,Jakarta Selatan,"Gandaria City, Jl. Sultan Iskandar Muda",,,Tri Rudy Anitio,PT. Nusantara Sejahtera Raya,021 31901188,021 31901144,Bar,2015-01-10,
GANESHA,Jakarta Selatan,Jl. Kemang Raya No. 3 A-5,14,1,Jai Prakash Dave,PT. Ganesha Sanskritik Indonesia,021 5719415,021 5719415,Bar,2015-01-15,
GANGNAM,Jakarta Selatan,"Komp. Wijaya Graha Puri Blok F No. 20, Jl. Wijaya II",,,Vransiy Munita,PT. YSJ Maju Global,021 29410877,021 29410879,Bar,2015-01-10,
GEDUNG PUTIH,Jakarta Selatan,"Bapindo Plaza, Jl. Jend. Sudirman Kav. 54-55",,,Lee Sang Hyun,PT. Putra Inko Perkasa,,,Bar,2015-01-10,
GEISHA EKSEKUTIF,Jakarta Selatan,"Mal Blok M, Jl. Melawai VIII/ 4 A",,,Ir. Buyung Achmad Yani,CV. Geisha Eksekutif,021 7233013,021 7233013,Bar,2015-01-10,
GILI LOUNGE & BAR,Jakarta Selatan,Jl. Denpasar Selatan No. 1,,,Gerry Djohan,PT. Muda Graha Realty,021 5275542,021 5275542,Bar,2015-01-10,
GIOVANESE,Jakarta Selatan,"Gandaria City Lt. Mainstreet UG Unit M-19 Jl. Sultan Iskandar Muda No. 57, Arteri Pondok Indah",,,Boejono Tjokro,PT. Graha Nusa Persada,021 29007939,021 29007943,Bar,2015-01-10,
GOEN LOUNGE BAR,Jakarta Selatan,"Jl. Melawai VI No. 6A, Blok M",,,Ainawa Naseru Asry,,021 99847788,,Bar,2015-01-10,
GOLD RUSH,Jakarta Selatan,"Jl. Melawai IX/8, Blok M",,,Nizmah,PT. Nada Asia Timur,021 7268259,021 7206406,Bar,2015-01-10,
GOURMET CELLAR,Jakarta Selatan,Jl. Kemang Raya No. 66,,,Justinus Supartono,PT. Gourmet Cellar,021 7190875,,Bar,2015-01-10,
GRAND CRU,Jakarta Selatan,"Setiabudi I, Jl. H.R. Rasuna Said Kav. 22",,,Cipto Sukaryadi,PT. Megaguna Usaha Bersama,021 71792577,021 71792723,Bar,2015-01-10,
GUSTO TAPAS AND WINE BAR,Jakarta Selatan,"Rasuna Epicentrum, Jl. HR. Rasuna Said Epicentrum",,,Mahardika Permana,PT. Allegra Boga Perdana Makmur,021 29941199,021 29941199,Bar,2015-01-10,
HACIENDA MEXICAN BAR & GRILL,Jakarta Selatan,"Mal Pondok Indah, Jl. Metro Pondok Indah",,,Hari Setiawan,PT. Bahana Pondok Indah Makmur,,,Bar,2015-01-10,
HANSOL,Jakarta Selatan,Jl. Widya Chandra VIII No. 33,,,Nur Inayah,PT. Hansol Mulia,,,Bar,2015-01-10,
HAPPY PUPPY,Jakarta Selatan,"Komp. Golden Plaza Blok A17 - A1, Jl. Fatmawati ",,,Melinna Aprilia,PT. Mitra Imperium Abadi,,,Bar,2015-01-10,
HAPPY PUPPY,Jakarta Selatan,"Gd. La Codefi,  Jl. Kemang Raya No. 8",,,Louis Fransiskus Hartanto,PT. Mitra Musika Sejati,,,Bar,2015-01-10,
HARD ROCK CAFÉ,Jakarta Selatan,"Pacific Place Mall Lot. 3-5, Jl. Jend. Sudirman Kav. 52-53",,,Handi Jatna,PT. Harum Rahayu Citra,,,Bar,2015-01-10,
HIDE and SEEK Restaurant,Jakarta Selatan,"Fair Ground Lot. 14 SCBD, Jl. Jend. Sudirman Kav. 52-53",,,Feisal Hamka,PT. Elysium Besar Internasional,,,Bar,2015-01-10,
HIMAWARI,Jakarta Selatan,Jl. Melawai IX No. 5,,,Andi Amsirullah,PT. Sagatama Selaras Mandiri,021 7205564,021 7205601,Bar,2015-01-10,
HOMARE,Jakarta Selatan,"Mega Building, Jl. Melawai VIII No. 4 Lt. 6",,,Idawati,PT. Green Giok,021 7267332,021 7267334,Bar,2015-01-10,
HOMARE,Jakarta Selatan,Jl. Melawai VIII No. 4 Lt. 6,,,Idawati,PT. Green Giok,021 7267332,021 7267334,Bar,2015-01-10,
HOPE TOWN KITCHEN & TEA ROOM,Jakarta Selatan,"Permata Kuningan, Jl. Kuningan Mulia No. 9",,,Tjung Lina,PT. Hop Eterna,021 29069555,021 29069777,Bar,2015-01-10,
HOTEL SENTRA BOUTIQUE,Jakarta Selatan,Jl. Ciledug Raya No.17,8,10,Ir.Zainuri Yunus,CV. Sentra Cipulir,,,Bar,2015-01-10,
HYDE,Jakarta Selatan,Jl. Taman Kemang I Blok A No. 8,,,Putri Madarina,PT. Odetta Boga Mandiri,,,Bar,2015-01-10,
IDEAS,Jakarta Selatan,"Pondok Indah Mal Lt. Dasar G009-G010, Jl. Metro Pondok Indah",,,Lieng Boen Jeng,PT. Sarana Kuliner Sejahtera,021 7510412,021 7511895,Bar,2015-01-10,
IKUZE,Jakarta Selatan,"Kemang Village Gd. Lippo Mal Kemang, Jl. Pangeran Antasari No. 36, Kemang",,,Angie Claudia Fachry,PT. Gaia Boga Utama,021 7222513,021 72790573,Bar,2015-01-10,
IKUZE,Jakarta Selatan,"Epicentrum Walk, Jl. HR. Rasuna Said",,,Angie Claudia Fachry,PT. Gaia Boga Utama,021 29941198,021 29941198,Bar,2015-01-10,
INUL VISTA FAMILY KTV,Jakarta Selatan,"Komp. Golden Fatmawati, Jl. RS. Fatmawati",,,Paulina Wahyuasih Indra W,CV. Nada Elok Mulia,,,Bar,2015-01-10,
INUL VIZTA,Jakarta Selatan,Jl. Kemang Raya No. 3 A-5,,,Ramses Korompis,PT. Maju Sentosa Persada,021 70747459,021 75904225,Bar,2015-01-10,
INUL VIZTA,Jakarta Selatan,"Kemang Square Lt. 1, Jl. Kemang Raya No. 3 A-5",,,Ramses Korompis,PT. Maju Sentosa Persada,021 70747459,021 75904225,Bar,2015-01-10,
INUL VIZTA FAMILY KTV,Jakarta Selatan,"Pejaten Village Mal, Jl. Warung Jati Barat No. 39",,,Risma Situmorang,CV. Sahabat Lestari,021 45857246,021 45857521,Bar,2015-01-10,
ISEYA,Jakarta Selatan,"Sampoerna Strategic Square, Jl. Jend. Sudirman",,,Andrew Himawan,PT. Anggarda Himber Indonesia,021 57700014,021 5770901,Bar,2015-01-10,
ISEYA,Jakarta Selatan,"Sampoerna Strategic Square, Jl. Jend. Sudirman",,,Andrew Himawan,PT. Anggarda Himber Indonesia,021 57700014,021 5770901,Bar,2015-01-10,
IVY BISTRO,Jakarta Selatan,"Dharmawangsa Square 34, Jl. Dharmawangsa III No. 6",,,Dr. Sri Adriyani Lestari,PT. Klabo Investama,021 7265766,021 7265616,Bar,2015-01-10,
J - WINE,Jakarta Selatan,"Puri Casablanca Basement, Jl. Casablanca No. 1",,,Adji Aftab Rajramdhani,PT. Mitra Putera Indonesia,,,Bar,2015-01-10,
J CLUB,Jakarta Selatan,Jl. Melawai IX No. 5,,,Bakhrudin Aly,PT. Shinano Kharisma Nusa,021 7204209,021 7204213,Bar,2015-01-10,
JAWA JAWA,Jakarta Selatan,Jl. Melawai VI No. 15 Blok M,,,Yani Handayani,PT. Sun Hills Indonesia,021 7262529,021 7253465,Bar,2015-01-10,
JAWA JAWA,Jakarta Selatan,"Blok M, Jl. Melawai VI No. 15",,,Yani Handayani,PT. Sun Hills Indonesia,021 7262529,021 7253465,Bar,2015-01-10,
JBS CAFÉ & RESTO,Jakarta Selatan,Jl. Kebayoran Baru No. 73 B-C Velbak,,,Indria Oktavia Muaja,PT. Jakarta Boxing Stadium,,,Bar,2015-01-10,
JC'S Café,Jakarta Selatan,Jl. Jend. Sudirman Kav. 52-53,,,Jessy Ria Sekeon,PT. Jasa Cipta Swadaya,021 5150737,,Bar,2015-01-10,
JC'S Café,Jakarta Selatan,Jl. Jend. Sudirman Kav. 52-53,,,Jessy Ria Sekeon,PT. Jasa Cipta Swadaya,021 5150737,,Bar,2015-01-10,
JIMM'S SPORTS CAFÉ,Jakarta Selatan,"Bellagio Boutique Mal, Jl. Mega Kuningan Barat",,,William Gomez,PT. Anugrah Sukses Pratama,021 30066771,021 30066771,Bar,2015-01-10,
JJ ROYAL BRASSERIE,Jakarta Selatan,Ciputra World Lotte Shopping Avenue LG-01-02,,,Muhammad Rendhy Aditya,PT. Legenda Kuliner,021 98564335,021 98564335,Bar,2015-01-10,
JJ ROYAL BRASSERIE,Jakarta Selatan,Ciputra World Lotte Shopping Avenue LG-01-02,,,Muhammad Rendhy Aditya,PT. Legenda Kuliner,021 98564335,021 98564335,Bar,2015-01-10,
JK-7,Jakarta Selatan,Jl. Kemang Raya No. 7,,,Febert Hotma Hutagalung,PT. Beringin Floratama Megah,021 7198000,021 7192366,Bar,1960-12-01,
JULIAN NYLAND,Jakarta Selatan,Jl. Kemang Selatan Raya No. 150,,,Yusuf SB,Yusuf SB,021 7883762,,Bar,2015-01-10,
JUNKO,Jakarta Selatan,Jl. Melawai VIII No. 4C,,,Hartuti K,PT. Hartuti Expressindo,,,Bar,2015-01-10,
J-WINE,Jakarta Selatan,"Mal Pondok Indah 2, Jl. Metro Pondok Indah IV-T",,,Adji Aftab Rajramdhani,PT. Mitra Putera Indonesia,,,Bar,2015-05-20,
J-WINE,Jakarta Selatan,"The Foodhall Belleza, Jl. Letjen Soepono No. 34",,,Adji Aftab Rajramdhani,PT. Mitra Putera Indonesia,021 88569155,021 88569155,Bar,2015-05-30,
K O I,Jakarta Selatan,Jl. Kemang Raya No. 72,,,Amalia Pramesti,PT. Aneka Serba Boga,,,Bar,2015-01-20,
K O I,Jakarta Selatan,Jl. Mahakam I No. 2,,,Amalia Pramesti,PT. Aneka Serba Boga,021 7222864,021 7236428,Bar,2015-01-10,
KAFFEINE,Jakarta Selatan,The Foundry No. 8 Zone A SCBD Lot. 8 Jl. Jend. Sudirman,,,Jusdijanto Harsono,PT. Sukses Citra Boga Dinamika,021 5151529,,Bar,2015-01-10,
KAISEN DOKORO KAIHOMARU,Jakarta Selatan,"Apart. Golf Pondok Indah, Jl. Metro Pondok Indah",,,Pinnywati Chandra,PT. Sanwa Indonesia,021 28040455,021 28040455,Bar,2015-01-10,
KAISEN DOKORO KAIHOMARU,Jakarta Selatan,Jl. Melawai VI No. 23,,,Pinnywati Chandra,PT. Sanwa Indonesia,021 72795782,,Bar,2015-01-06,
KANA RESTOLOUNGE,Jakarta Selatan,"Gd. The Landmark Centre I Ground Floor, Jl. Jend. Sudirman Kav. 1 No. 26                                   ",,,Baary Elmirfak Hatmadja,PT. Tirai Utama Perkasa  ,021 2520077,021 2525669,Bar, 25/100,
KAPPO DON,Jakarta Selatan,"Jl. Melawai V No. 10, Blok M",,,S. Susilowati M.S,PT. Wakyo World Wide,,,Bar,2015-01-10,
KEMANG 58,Jakarta Selatan,Jl. Kemang Raya No. 58,,,Christine Chandra,PT. Tri Permata Lestari,,,Bar,2015-01-10,
KINGKONG,Jakarta Selatan,Jl. Panglima Polim Raya No. 51,,,Nizmah,PT. Kemilau Mustika,021 7268264,021 7255465,Bar,2015-01-10,
KIRA KIRA GINZA,Jakarta Selatan,Jl. Melawai IX No. 30,,,S.Susilowati,PT. Duta Inti Boga,,,Bar,2015-01-10,
KITCHEN 18,Jakarta Selatan,Jl. Melawai VI No. 6A,,,B. Agung Susilo Utomo,PT. Cipta Daya Lestari,,,Bar,2015-01-10,
Klub Minuman,Jakarta Selatan,Jl. Sultan Hasanudin No. 60,,,B. Bur Maras,,021 7258377,,Bar,2015-01-30,
